epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,637.824,1.75733,1.0925,1.00943,0.89775,0.9,0.93705,0.35079,2.01311,1.0816,0.91135,0.00472,0.00472,0.00472
82,645.773,1.71958,1.07692,1.00623,0.934,0.95,0.94846,0.35347,2.07048,1.09545,0.90418,0.004654,0.004654,0.004654
83,653.606,1.79347,1.09434,1.02417,0.78404,0.90791,0.85984,0.31499,2.13184,1.1313,0.90641,0.004588,0.004588,0.004588
84,661.658,1.84517,1.09141,0.98846,0.75846,0.9,0.81212,0.30754,2.03271,1.14685,0.89387,0.004522,0.004522,0.004522
85,669.649,1.89305,1.1346,1.04695,0.68327,0.97121,0.82185,0.30157,2.08543,1.18325,0.90256,0.004456,0.004456,0.004456
86,677.482,1.77033,1.11299,0.99234,0.5324,0.75,0.65989,0.20028,2.64075,1.30616,1.01568,0.00439,0.00439,0.00439
87,685.381,1.85472,1.08599,1.01804,0.65232,0.9,0.82976,0.30374,2.26441,1.19343,0.94216,0.004324,0.004324,0.004324
88,693.436,1.77155,1.07434,1.00981,0.68751,1,0.91745,0.33563,2.04162,1.09587,0.9419,0.004258,0.004258,0.004258
89,701.388,1.82056,1.08433,1.01873,0.85562,0.95,0.95148,0.36605,2.079,1.09909,0.97294,0.004192,0.004192,0.004192
90,709.376,1.8763,1.05441,0.97504,0.73424,0.95,0.86707,0.36471,2.12868,1.14051,0.97109,0.004126,0.004126,0.004126
91,717.263,1.86241,1.05259,0.98526,0.82092,0.91729,0.88323,0.35857,2.03966,1.14148,0.94726,0.00406,0.00406,0.00406
92,725.074,1.82208,1.12932,1.02862,0.81909,0.85,0.86939,0.33365,2.01476,1.12259,0.91822,0.003994,0.003994,0.003994
93,732.987,1.80611,1.10387,1.05828,0.89821,0.88301,0.95048,0.38091,1.97092,1.0915,0.90305,0.003928,0.003928,0.003928
94,740.89,1.86601,1.07167,1.01271,0.94991,0.94827,0.96167,0.3747,2.02721,1.07558,0.91729,0.003862,0.003862,0.003862
95,748.822,1.85547,1.08462,1.00313,0.90001,0.95,0.93296,0.31928,2.19776,1.12807,0.93237,0.003796,0.003796,0.003796
96,756.747,1.71969,1.07087,1.03088,0.86978,0.95,0.94031,0.28225,2.33951,1.13826,0.94827,0.00373,0.00373,0.00373
97,764.787,1.7589,1.05241,1.03176,0.85319,0.8723,0.83905,0.2871,2.28262,1.13858,0.95037,0.003664,0.003664,0.003664
98,772.823,1.64918,1.07697,0.99454,0.8188,0.8,0.78891,0.27003,2.15644,1.15791,0.94048,0.003598,0.003598,0.003598
99,780.793,1.82651,1.07411,0.97967,0.59489,0.9,0.79338,0.27296,1.95991,1.13934,0.95079,0.003532,0.003532,0.003532
100,788.825,1.715,1.08778,0.98674,0.67291,0.85,0.75252,0.25816,1.98972,1.12045,0.94409,0.003466,0.003466,0.003466
